Word,Zipf-value,,
a,7.30935995931018,,
aahed,1.59286413780844,,
aahing,1.76895539686412,,
aahs,2.0699853925281,,
aal,1.59286413780844,,
aardvark,2.63425682296667,,
aarrgh,1.59286413780844,,
aarrghh,1.59286413780844,,
aas,1.76895539686412,,
aba,1.99080414648048,,
abaca,1.59286413780844,,
aback,2.49595412480038,,
abacus,2.4057774944513,,
abacuses,1.59286413780844,,
abaddon,2.33322682730268,,
abaft,1.76895539686412,,
abalone,2.72319790630345,,
abalones,2.13693218215872,,
abandon,3.90883448326536,,
abandoned,4.12370391642496,,
abandoner,1.59286413780844,,
abandoning,3.23135339476308,,
abandonment,2.99080414648048,,
abandons,2.46792540120014,,
abase,1.89389413347242,,
abastard,1.59286413780844,,
abate,2.0699853925281,,
abated,1.99080414648048,,
abatement,1.89389413347242,,
abates,1.76895539686412,,
abating,1.59286413780844,,
abattoir,2.1949241291364,,
abbess,1.76895539686412,,
abbesses,1.59286413780844,,
abbey,3.50402174654842,,
abbreviate,1.59286413780844,,
abbreviated,2.52228306352273,,
abbreviation,2.4057774944513,,
abbreviations,2.33322682730268,,
abd,1.59286413780844,,
abdicate,2.29183414214446,,
abdicated,2.1949241291364,,
abdicates,1.59286413780844,,
abdicating,1.89389413347242,,
abdication,2.13693218215872,,
abdomen,3.52736258905201,,
abdomens,1.89389413347242,,
abdominal,3.53487219083075,,
abdominals,2.1949241291364,,
abduct,2.86003586621145,,
abducted,3.70007410745631,,
abductee,2.61405343687838,,
abductees,2.57058774309729,,
abducting,2.52228306352273,,
abduction,3.56134708636238,,
abductions,2.92530259772405,,
abductor,2.57058774309729,,
abductors,2.37101538819208,,
abducts,2.24607665158378,,
abeam,2.1949241291364,,
abed,2.33322682730268,,
abele,1.59286413780844,,
abend,2.29183414214446,,
aberrant,2.49595412480038,,
aberration,2.75423214004342,,
aberrations,2.24607665158378,,
abet,2.0699853925281,,
abetted,2.24607665158378,,
abetting,2.72319790630345,,
abettor,1.59286413780844,,
abeyance,1.76895539686412,,
abhor,2.4057774944513,,
abhorred,2.1949241291364,,
abhorrent,2.29183414214446,,
abhors,1.99080414648048,,
abide,3.43484894239855,,
abided,1.89389413347242,,
abiders,1.59286413780844,,
abides,1.99080414648048,,
abiding,2.70680749011528,,
abilities,3.78737847969091,,
ability,4.28350314952441,,
abiogenist,1.89389413347242,,
abit,1.59286413780844,,
abject,2.61405343687838,,
abjectly,1.89389413347242,,
abjure,1.59286413780844,,
ablate,1.59286413780844,,
ablated,1.59286413780844,,
ablation,1.59286413780844,,
ablaze,2.63425682296667,,
able,5.20331135925056,,
abler,1.59286413780844,,
ablest,1.76895539686412,,
abloom,1.89389413347242,,
ablution,1.89389413347242,,
ablutions,1.99080414648048,,
ably,2.29183414214446,,
abnormal,3.46502041055673,,
abnormalities,2.70680749011528,,
abnormality,2.72319790630345,,
abnormally,2.61405343687838,,
abnormity,1.59286413780844,,
abo,2.13693218215872,,
aboard,4.42505359887695,,
abode,2.82331305918672,,
abogado,1.76895539686412,,
abolish,2.6897741508165,,
abolished,2.61405343687838,,
abolishes,1.59286413780844,,
abolishing,1.76895539686412,,
abolition,2.33322682730268,,
abolitionism,1.59286413780844,,
abolitionist,2.37101538819208,,
abolitionists,2.4379621778227,,
abomasum,1.59286413780844,,
abominable,2.81034808202235,,
abominably,2.24607665158378,,
abominate,1.89389413347242,,
abomination,3.0626861537866,,
abominations,2.1949241291364,,
aboriginal,2.29183414214446,,
aboriginally,1.59286413780844,,
aborigine,1.99080414648048,,
aborigines,2.29183414214446,,
aborning,1.59286413780844,,
abort,3.66474614511457,,
aborted,2.81034808202235,,
aborting,2.4379621778227,,
abortion,3.86003586621145,,
abortionist,1.99080414648048,,
abortionists,1.59286413780844,,
abortions,2.84813664291175,,
abortive,1.59286413780844,,
abortively,1.59286413780844,,
aborts,1.59286413780844,,
abound,2.57058774309729,,
abounded,1.89389413347242,,
abounding,1.99080414648048,,
abounds,2.33322682730268,,
about,6.55949153919838,,
abouts,2.24607665158378,,
above,4.68873059128698,,
aboveboard,2.46792540120014,,
aboveground,2.1949241291364,,
abovementioned,1.59286413780844,,
abracadabra,3.02422790196743,,
abrade,1.59286413780844,,
